Heuristic,N,CreationTime,UsagePercentage,QueriesTime,DiscAccess
Linear Split,512,28,0.125,11,0
Greene Split,512,42,0.125,7,0
Linear Split,1024,54,0.25,51,0
Greene Split,1024,7,0.25,141,0
Linear Split,2048,6,0.5,132,0
Greene Split,2048,7,0.5,211,0
Linear Split,4096,8,1,544,0
Greene Split,4096,7,1,481,0
Linear Split,8192,170,0.500183105,842,0
Greene Split,8192,305,0.500183105,781,0
Linear Split,16384,531,0.500213623,1961,0
Greene Split,16384,618,0.571637835,1627,0
Linear Split,32768,1120,0.571655273,6653,0
Greene Split,32768,1496,0.571655273,3521,0
Linear Split,65536,2367,0.571663993,31648,0
Greene Split,65536,3044,0.666900635,9079,0
Linear Split,131072,5888,0.627690334,65675,0
Greene Split,131072,7073,0.666905721,21888,0
Linear Split,262144,15012,0.63390509,216212,0
Greene Split,262144,16352,0.681092607,46629,0
Linear Split,524288,40372,0.624633194,586575,0
Greene Split,524288,43225,0.663455311,98506,0
